id,populasyon,baslik,ana_bulgu,esleme,hekim_onayi,soru_sayisi,soru_metinleri,geri_bildirim
"case_normal_heart","yetiskin","Normal Kardiyak Oskültasyon","normal","validated","beklemede","4","Duyduğunuz ses hangisidir? | Sisteminatik kardiyak oskültasyon için en uygun sıra hangisidir? | Bu bulgunun en belirgin duyulduğu alan hangisidir? | Bu oskültasyon için Bell mi, Diyafram mı daha uygundur?","Normal kalp sesleri: S1 sistol başında, uzun ve düşük frekanslı; S2 diyastol başında, kısa ve daha yüksek frekanslıdır. Ritim düzenlidir, ek ses ve üfürüm yoktur."
"case_s3","yetiskin","Üçüncü Kalp Sesi (S3)","s3","validated","beklemede","4","Duyduğunuz ek ses hangisidir? | Bu ses, kalp siklusunun hangi bölümünde belirgindir? | Bu bulgunun en belirgin duyulduğu alan hangisidir? | Bu bulgu için Bell mi, Diyafram mı daha uygundur?","S3: S2'den hemen sonra, erken diyastolde hızlı dolum fazında duyulan düşük frekanslı ek sestir. Gençlerde fizyolojik olabilir; 'ken-ta' ritmi karakteristiktir. Bu kayıtta en belirgin alan apekstir."
"case_s4","yetiskin","Dördüncü Kalp Sesi (S4)","s4","validated","beklemede","4","Duyduğunuz ek ses hangisidir? | S3 ve S4 ayrımı için zamanlama hangi kriterle yapılır? | Bu vakanın kaydında S4 hangi odakta alınmıştır? | Bu bulgu için Bell mi, Diyafram mı daha uygundur?","S4: presistolik, düşük frekanslı ek ses. S1'den hemen önce duyulur; sert ventrikül ve kuvvetli atriyal kontraksiyonla ilişkilidir. Atriyal fibrilasyonda duyulmaz (organize atriyal kontraksiyon yoktur)."
"case_systolic_murmur","yetiskin","Sistolik Üfürüm","mid_systolic_murmur","validated","beklemede","4","Duyduğunuz üfürümün zamanlaması hangisidir? | Bu üfürüm bu vakanın kaydında hangi odakta alınmıştır? | Sistolik üfürüm tanımlamasında hangi özellikler önemlidir? (birden fazla seçebilirsiniz) | Üfürüm karakterini değerlendirmek için Bell mi, Diyafram mı daha uygundur?","Orta sistolik üfürüm: S1 ile S2 arasında duyulan üfürüm. Bu içerikte akustik bulgu ('orta sistolik üfürüm') ile kapak lezyonu tanısı ayrı tutulur; ses sınıfı manikinden doğrulanmış kayıttır."
"case_atrial_fibrillation","yetiskin","Atriyal Fibrilasyon","atrial_fibrillation","validated","beklemede","3","Dinlediğiniz ritmi en iyi tanımlayan seçenek hangisidir? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur? | Ritim değerlendirmesi için en uygun odak hangisidir?","Atriyal fibrilasyonda S1 şiddeti değişkendir ve ritim düzensiz düzensizdir. Apeks ve arter nabzı arasındaki uyumsuzluk (nabız defisiti) ek bulgudur."
"case_normal_lung","yetiskin","Normal Solunum Sesleri","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Normal veziküler solunum sesinde inspirasyon–ekspiryum ilişkisi nasıldır? | Karşılaştırmalı (bilateral) pulmoner oskültasyonun amacı nedir?","Normal veziküler solunum: yumuşak, düşük frekanslı; inspirasyon ekspiryumdan uzundur ve ekspiryumda ses hızla söner. Bilateral simetridir."
"case_wheezing","yetiskin","Wheezing","wheezing","validated","beklemede","3","Duyduğunuz ses hangisidir? | Wheezing solunum siklusunun hangi bölümünde daha belirgindir? | Wheezing'in oluşum mekanizması nedir?","Wheezing: yüksek frekanslı, müzikal, ekspiryumda belirgin sürekli ses; küçük hava yollarında daralma ile ilişkilidir. Yaygın bilateral wheezing obstrüktif paternle uyumludur ancak tanı için klinik bağlantı gerekir."
"case_fine_crackles","yetiskin","İnce Raller (Fine Crackles)","fine_crackles","validated","beklemede","3","Duyduğunuz ses hangisidir? | İnce raller tipik olarak solunumun hangi bölümünde duyulur? | İnce raller için doğru olanlar hangileridir?","İnce raller: inspirasyon sonunda duyulan kısa, yüksek frekanslı, kesintili sesler. Alveollerin açılmasına bağlıdır; interstisyel süreçlerde klasik bulgudur."
"case_coarse_crackles","yetiskin","Kaba Raller (Coarse Crackles)","coarse_crackles","validated","beklemede","2","Duyduğunuz ses hangisidir? | İnce ve kaba rallerin en önemli ayırt edici özelliği nedir?","Kaba raller: düşük frekanslı, kaba, 'çırçır/kıvırtma' benzeri sesler; büyük hava yollarındaki sekresyonla ilişkilidir ve öksürükle değişebilir."
"case_rhonchi","yetiskin","Ronküs","rhonchi","validated","beklemede","2","Duyduğunuz ses hangisidir? | Ronküs ile wheezing arasındaki temel fark nedir?","Ronküs: düşük frekanslı (<300 Hz civarı), kaba, sürekli ses. Öksürükle değişebilir; büyük hava yolu sekresyonu/daralmasıyla ilişkilidir."
